# t	u	y	glucose	insulin	remote_insulin_effect	infusion_rate	meal_disturbance
# model_name=glucose_insulin_bergman, controlled_output=glucose_deviation, dt=0.1 sec, dt_sim=0.01 sec, input_type=random_steps, preg_blackbox_enabled=False, r_preg=-0.05, Gb=5.5, Ib=10, U0=0, U_gain=2.2, tau_pump=0.2, p1=0.025, p2=0.03, p3=0.0012, n=0.1, V_I=12, meal_amp=0.12, meal_time=45, meal_tau=14
0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	5.5000000000e+00	1.0000000000e+01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
1.0000000000e-01	0.0000000000e+00	-1.1405842493e-08	5.4999999886e+00	1.0001946308e+01	8.0995168632e-08	4.3281625620e-01	0.0000000000e+00
2.0000000000e-01	0.0000000000e+00	-1.6613905007e-07	5.4999998339e+00	1.0006696265e+01	5.7739565330e-07	6.9533259274e-01	0.0000000000e+00
3.0000000000e-01	0.0000000000e+00	-7.6994633869e-07	5.4999992301e+00	1.0013111205e+01	1.7499735505e-06	8.5455680385e-01	0.0000000000e+00
4.0000000000e-01	0.0000000000e+00	-2.2388829466e-06	5.4999977611e+00	1.0020500845e+01	3.7513899752e-06	9.5113117227e-01	0.0000000000e+00
5.0000000000e-01	0.0000000000e+00	-5.0523252302e-06	5.4999949477e+00	1.0028446857e+01	6.6687920389e-06	1.0097064893e+00	0.0000000000e+00
6.0000000000e-01	0.0000000000e+00	-9.7245116590e-06	5.4999902755e+00	1.0036695858e+01	1.0549648630e-05	1.0452342159e+00	0.0000000000e+00
7.0000000000e-01	0.0000000000e+00	-1.6787321179e-05	5.4999832127e+00	1.0045094507e+01	1.5417420016e-05	1.0667828719e+00	0.0000000000e+00
8.0000000000e-01	0.0000000000e+00	-2.6779866750e-05	5.4999732201e+00	1.0053550139e+01	2.1281061359e-05	1.0798527928e+00	0.0000000000e+00
9.0000000000e-01	0.0000000000e+00	-4.0242221856e-05	5.4999597578e+00	1.0062006883e+01	2.8140786307e-05	1.0877801008e+00	0.0000000000e+00
1.0000000000e+00	0.0000000000e+00	-5.7711653226e-05	5.4999422883e+00	1.0070431186e+01	3.5991562220e-05	1.0925882563e+00	0.0000000000e+00
1.1000000000e+00	0.0000000000e+00	-7.9720373014e-05	5.4999202796e+00	1.0078803027e+01	4.4825229570e-05	1.0955045501e+00	0.0000000000e+00
1.2000000000e+00	0.0000000000e+00	-1.0679421206e-04	5.4998932058e+00	1.0087110589e+01	5.4631786852e-05	1.0972733717e+00	0.0000000000e+00
1.3000000000e+00	0.0000000000e+00	-1.3945185125e-04	5.4998605481e+00	1.0095347025e+01	6.5400169381e-05	1.0983462163e+00	0.0000000000e+00
1.4000000000e+00	0.0000000000e+00	-1.7820439076e-04	5.4998217956e+00	1.0103508506e+01	7.7118721095e-05	1.0989969295e+00	0.0000000000e+00
1.5000000000e+00	0.0000000000e+00	-2.2355512391e-04	5.4997764449e+00	1.0111593022e+01	8.9775480182e-05	1.0993916069e+00	0.0000000000e+00
1.6000000000e+00	0.0000000000e+00	-2.7599943436e-04	5.4997240006e+00	1.0119599670e+01	1.0335835178e-04	1.0996309909e+00	0.0000000000e+00
1.7000000000e+00	0.0000000000e+00	-3.3602476778e-04	5.4996639752e+00	1.0127528213e+01	1.1785521220e-04	1.0997761847e+00	0.0000000000e+00
1.8000000000e+00	0.0000000000e+00	-4.0411064820e-04	5.4995958894e+00	1.0135378812e+01	1.3325397160e-04	1.0998642491e+00	0.0000000000e+00
1.9000000000e+00	0.0000000000e+00	-4.8072872088e-04	5.4995192713e+00	1.0143151870e+01	1.4954261148e-04	1.0999176629e+00	0.0000000000e+00
2.0000000000e+00	0.0000000000e+00	-5.6634281089e-04	5.4994336572e+00	1.0150847934e+01	1.6670920694e-04	1.0999500601e+00	0.0000000000e+00
2.1000000000e+00	0.0000000000e+00	-6.6140899078e-04	5.4993385910e+00	1.0158467632e+01	1.8474193958e-04	1.0999697099e+00	0.0000000000e+00
2.2000000000e+00	0.0000000000e+00	-7.6637565320e-04	5.4992336243e+00	1.0166011641e+01	2.0362910495e-04	1.0999816281e+00	0.0000000000e+00
2.3000000000e+00	0.0000000000e+00	-8.8168358625e-04	5.4991183164e+00	1.0173480663e+01	2.2335911645e-04	1.0999888569e+00	0.0000000000e+00
2.4000000000e+00	0.0000000000e+00	-1.0077660500e-03	5.4989922340e+00	1.0180875415e+01	2.4392050724e-04	1.0999932414e+00	0.0000000000e+00
2.5000000000e+00	0.0000000000e+00	-1.1450488530e-03	5.4988549511e+00	1.0188196616e+01	2.6530193095e-04	1.0999959007e+00	0.0000000000e+00
2.6000000000e+00	0.0000000000e+00	-1.2939504295e-03	5.4987060496e+00	1.0195444988e+01	2.8749216155e-04	1.0999975136e+00	0.0000000000e+00
2.7000000000e+00	0.0000000000e+00	-1.4548819147e-03	5.4985451181e+00	1.0202621247e+01	3.1048009282e-04	1.0999984919e+00	0.0000000000e+00
2.8000000000e+00	0.0000000000e+00	-1.6282472206e-03	5.4983717528e+00	1.0209726108e+01	3.3425473761e-04	1.0999990853e+00	0.0000000000e+00
2.9000000000e+00	0.0000000000e+00	-1.8144431104e-03	5.4981855569e+00	1.0216760278e+01	3.5880522679e-04	1.0999994452e+00	0.0000000000e+00
3.0000000000e+00	0.0000000000e+00	-2.0138592724e-03	5.4979861407e+00	1.0223724459e+01	3.8412080830e-04	1.0999996635e+00	0.0000000000e+00
3.1000000000e+00	0.0000000000e+00	-2.2268783923e-03	5.4977731216e+00	1.0230619347e+01	4.1019084597e-04	1.0999997959e+00	0.0000000000e+00
3.2000000000e+00	0.0000000000e+00	-2.4538762259e-03	5.4975461238e+00	1.0237445631e+01	4.3700481844e-04	1.0999998762e+00	0.0000000000e+00
