# t	u	y	backlog	allocated_capacity	service_rate	response_time
# model_name=cloud_server_workload, controlled_output=latency_deviation, dt=0.2 sec, dt_sim=0.02 sec, input_type=alternating_steps, preg_blackbox_enabled=False, r_preg=1, backlog_nom=8, arrival_rate=5, service_nom=5, service_gain=3, tau_capacity=1.5, half_saturation=2, abandonment=0.03, latency_gain=0.18
0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	8.0000000000e+00	5.0000000000e+00	4.0000000000e+00	1.4400000000e+00
2.0000000000e-01	0.0000000000e+00	2.7010054243e-02	8.1500558569e+00	5.0000000000e+00	4.0147837469e+00	1.4670100542e+00
4.0000000000e-01	0.0000000000e+00	5.3342232111e-02	8.2963457340e+00	5.0000000000e+00	4.0287816417e+00	1.4933422321e+00
6.0000000000e-01	0.0000000000e+00	7.9027621642e-02	8.4390423425e+00	5.0000000000e+00	4.0420577222e+00	1.5190276216e+00
8.0000000000e-01	0.0000000000e+00	1.0409495591e-01	8.5783053106e+00	5.0000000000e+00	4.0546689941e+00	1.5440949559e+00
1.0000000000e+00	0.0000000000e+00	1.2857086171e-01	8.7142825651e+00	5.0000000000e+00	4.0666663923e+00	1.5685708617e+00
1.2000000000e+00	0.0000000000e+00	1.5248007522e-01	8.8471115290e+00	5.0000000000e+00	4.0780955858e+00	1.5924800752e+00
1.4000000000e+00	0.0000000000e+00	1.7584562973e-01	8.9769201651e+00	5.0000000000e+00	4.0889976560e+00	1.6158456297e+00
1.6000000000e+00	0.0000000000e+00	1.9868901991e-01	9.1038278884e+00	5.0000000000e+00	4.0994096720e+00	1.6386890199e+00
1.8000000000e+00	0.0000000000e+00	2.2103034601e-01	9.2279463667e+00	5.0000000000e+00	4.1093651792e+00	1.6610303460e+00
2.0000000000e+00	0.0000000000e+00	2.4288844096e-01	9.3493802276e+00	5.0000000000e+00	4.1188946181e+00	1.6828884410e+00
2.2000000000e+00	0.0000000000e+00	2.6428098277e-01	9.4682276820e+00	5.0000000000e+00	4.1280256830e+00	1.7042809828e+00
2.4000000000e+00	0.0000000000e+00	2.8522459431e-01	9.5845810795e+00	5.0000000000e+00	4.1367836324e+00	1.7252245943e+00
2.6000000000e+00	0.0000000000e+00	3.0573493213e-01	9.6985274007e+00	5.0000000000e+00	4.1451915564e+00	1.7457349321e+00
2.8000000000e+00	0.0000000000e+00	3.2582676577e-01	9.8101486987e+00	5.0000000000e+00	4.1532706103e+00	1.7658267658e+00
3.0000000000e+00	0.0000000000e+00	3.4551404879e-01	9.9195224933e+00	5.0000000000e+00	4.1610402174e+00	1.7855140488e+00
3.2000000000e+00	0.0000000000e+00	3.6480998256e-01	1.0026722125e+01	5.0000000000e+00	4.1685182466e+00	1.8048099826e+00
3.4000000000e+00	0.0000000000e+00	3.8372707366e-01	1.0131817076e+01	5.0000000000e+00	4.1757211688e+00	1.8237270737e+00
3.6000000000e+00	0.0000000000e+00	4.0227718576e-01	1.0234873254e+01	5.0000000000e+00	4.1826641934e+00	1.8422771858e+00
3.8000000000e+00	0.0000000000e+00	4.2047158642e-01	1.0335953258e+01	5.0000000000e+00	4.1893613902e+00	1.8604715864e+00
4.0000000000e+00	0.0000000000e+00	4.3832098970e-01	1.0435116609e+01	5.0000000000e+00	4.1958257961e+00	1.8783209897e+00
4.2000000000e+00	0.0000000000e+00	4.5583559474e-01	1.0532419971e+01	5.0000000000e+00	4.2020695107e+00	1.8958355947e+00
4.4000000000e+00	0.0000000000e+00	4.7302512095e-01	1.0627917339e+01	5.0000000000e+00	4.2081037805e+00	1.9130251210e+00
4.6000000000e+00	0.0000000000e+00	4.8989884010e-01	1.0721660223e+01	5.0000000000e+00	4.2139390752e+00	1.9298988401e+00
4.8000000000e+00	0.0000000000e+00	5.0646560567e-01	1.0813697809e+01	5.0000000000e+00	4.2195851542e+00	1.9464656057e+00
5.0000000000e+00	0.0000000000e+00	5.2273387971e-01	1.0904077110e+01	5.0000000000e+00	4.2250511280e+00	1.9627338797e+00
5.2000000000e+00	0.0000000000e+00	5.3871175752e-01	1.0992843097e+01	5.0000000000e+00	4.2303455121e+00	1.9787117575e+00
5.4000000000e+00	0.0000000000e+00	5.5440699026e-01	1.1080038835e+01	5.0000000000e+00	4.2354762760e+00	1.9944069903e+00
5.6000000000e+00	0.0000000000e+00	5.6982700583e-01	1.1165705588e+01	5.0000000000e+00	4.2404508871e+00	2.0098270058e+00
5.8000000000e+00	0.0000000000e+00	5.8497892809e-01	1.1249882934e+01	5.0000000000e+00	4.2452763507e+00	2.0249789281e+00
6.0000000000e+00	0.0000000000e+00	5.9986959459e-01	1.1332608859e+01	5.0000000000e+00	4.2499592461e+00	2.0398695946e+00
6.2000000000e+00	0.0000000000e+00	6.1450557304e-01	1.1413919850e+01	5.0000000000e+00	4.2545057588e+00	2.0545055730e+00
6.4000000000e+00	0.0000000000e+00	6.2889317641e-01	1.1493850980e+01	5.0000000000e+00	4.2589217107e+00	2.0688931764e+00
6.6000000000e+00	0.0000000000e+00	6.4303847712e-01	1.1572435984e+01	5.0000000000e+00	4.2632125868e+00	2.0830384771e+00
6.8000000000e+00	0.0000000000e+00	6.5694732006e-01	1.1649707334e+01	5.0000000000e+00	4.2673835595e+00	2.0969473201e+00
7.0000000000e+00	0.0000000000e+00	6.7062533478e-01	1.1725696304e+01	5.0000000000e+00	4.2714395118e+00	2.1106253348e+00
7.2000000000e+00	0.0000000000e+00	6.8407794677e-01	1.1800433038e+01	5.0000000000e+00	4.2753850569e+00	2.1240779468e+00
7.4000000000e+00	0.0000000000e+00	6.9731038809e-01	1.1873946600e+01	5.0000000000e+00	4.2792245575e+00	2.1373103881e+00
7.6000000000e+00	0.0000000000e+00	7.1032770711e-01	1.1946265039e+01	5.0000000000e+00	4.2829621428e+00	2.1503277071e+00
7.8000000000e+00	0.0000000000e+00	7.2313477777e-01	1.2017415432e+01	5.0000000000e+00	4.2866017242e+00	2.1631347778e+00
8.0000000000e+00	0.0000000000e+00	7.3573630817e-01	1.2087423934e+01	5.0000000000e+00	4.2901470101e+00	2.1757363082e+00
8.2000000000e+00	0.0000000000e+00	7.4813684857e-01	1.2156315825e+01	5.0000000000e+00	4.2936015187e+00	2.1881368486e+00
8.4000000000e+00	0.0000000000e+00	7.6034079898e-01	1.2224115550e+01	5.0000000000e+00	4.2969685908e+00	2.2003407990e+00
8.6000000000e+00	0.0000000000e+00	7.7235241619e-01	1.2290846757e+01	5.0000000000e+00	4.3002514008e+00	2.2123524162e+00
8.8000000000e+00	0.0000000000e+00	7.8417582042e-01	1.2356532336e+01	5.0000000000e+00	4.3034529672e+00	2.2241758204e+00
9.0000000000e+00	0.0000000000e+00	7.9581500154e-01	1.2421194453e+01	5.0000000000e+00	4.3065761624e+00	2.2358150015e+00
9.2000000000e+00	0.0000000000e+00	8.0727382499e-01	1.2484854583e+01	5.0000000000e+00	4.3096237216e+00	2.2472738250e+00
9.4000000000e+00	0.0000000000e+00	8.1855603721e-01	1.2547533540e+01	5.0000000000e+00	4.3125982509e+00	2.2585560372e+00
9.6000000000e+00	0.0000000000e+00	8.2966527092e-01	1.2609251505e+01	5.0000000000e+00	4.3155022352e+00	2.2696652709e+00
9.8000000000e+00	0.0000000000e+00	8.4060504997e-01	1.2670028055e+01	5.0000000000e+00	4.3183380453e+00	2.2806050500e+00
1.0000000000e+01	0.0000000000e+00	8.5137879402e-01	1.2729882189e+01	5.0000000000e+00	4.3211079443e+00	2.2913787940e+00
1.0200000000e+01	0.0000000000e+00	8.6198982284e-01	1.2788832349e+01	5.0000000000e+00	4.3238140940e+00	2.3019898228e+00
1.0400000000e+01	0.0000000000e+00	8.7244136051e-01	1.2846896447e+01	5.0000000000e+00	4.3264585608e+00	2.3124413605e+00
1.0600000000e+01	0.0000000000e+00	8.8273653929e-01	1.2904091885e+01	5.0000000000e+00	4.3290433206e+00	2.3227365393e+00
1.0800000000e+01	0.0000000000e+00	8.9287840334e-01	1.2960435574e+01	5.0000000000e+00	4.3315702641e+00	2.3328784033e+00
1.1000000000e+01	0.0000000000e+00	9.0286991219e-01	1.3015943957e+01	5.0000000000e+00	4.3340412012e+00	2.3428699122e+00
